Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Görele - Of;510;357;128;3,98
Isparta - Of;2260;1582;1219;1,85
İmranlı - Of;1640;1148;330;4,97
Keçiborlu - Of;2260;1582;1180;1,92
Keşap - Of;565;395,5;171;3,3
Kırıkkale - Of;1580;1106;716;2,21
Gebze - Of;2260;1582;1050;2,15
Konya - Of;2490;1743;969;2,57
Kütahya - Of;2320;1624;1109;2,09
Merzifon - Of;960;672;486;1,98
Muğla - Of;2820;1974;1415;1,99
Of - Ortaca;2710;1897;1469;1,84
Of - Yatağan;2660;1862;1443;1,84
Göreme - Of;2090;1463;708;2,95
Niğde - Of;2320;1624;759;3,06
Of - Ordu;645;451,5;228;2,83
Fatsa - Of;645;451,5;268;2,41
Of - Ünye;645;451,5;291;2,22
Of - Perşembe;645;451,5;244;2,64
Of - Piraziz;565;395,5;208;2,72
Of - Polatlı;1640;1148;874;1,88
Ardeşen - Of;440;308;73;6,03
Çayeli - Of;305;213,5;46;6,63
Of - Rize;305;213,5;26;11,73
Of - Pazar;305;213,5;63;4,84
Of - Samsun;790;553;387;2,04
Of - Sarayköy;2490;1743;1289;1,93
Of - Sarıkaya;1810;1267;710;2,55
Of - Tefenni;2660;1862;1287;2,07
Of - Tekkeköy;760;532;364;2,09
Of - Terme;760;532;320;2,38
Of - Tokat;1750;1225;422;4,15
Of - Turhal;1600;1120;469;3,41
Of - Torul;610;427;126;4,84
Of - Yıldızeli;1640;1148;483;3,4
Boğazlıyan - Of;1810;1267;641;2,82
Of - Sorgun;1865;1305,5;667;2,8
Of - Zara;1640;1148;366;4,48
Ereğli_Kdz - Of;2260;1582;954;2,37
Ereğli_Kdz - Of;2260;1582;954;2,37
Kozlu - Of;2260;1582;913;2,48
Acıgöl - Ordu;1920;1344;556;3,45
Akçaabat - Ordu;530;371;163;3,25
Akçay_Balıkesir - Ordu;2490;1743;1134;2,2
Aksaray - Ordu;1920;1344;648;2,96
Hatay - Ordu;2035;1424,5;763;2,67
Manavgat - Ordu;2200;1540;972;2,26
Artvin - Ordu;1075;752,5;402;2,67
Çine - Ordu;2320;1624;1201;1,93
Aydın - Ordu;2200;1540;1165;1,89
Bandırma - Ordu;2260;1582;1004;2,25
Gönen - Ordu;2370;1659;1045;2,27
Banaz - Ordu;1750;1225;903;1,94
Bingöl - Ordu;1865;1305,5;582;3,2
Çavdır - Ordu;2420;1694;1081;2,24
Burdur - Ordu;2090;1463;989;2,11
Biga - Ordu;2320;1624;1074;2,16
Çanakkale - Ordu;2540;1778;1166;2,18
Lapseki - Ordu;2490;1743;1132;2,2
Çaycuma - Ordu;1695;1186,5;655;2,59
Alaca - Ordu;1020;714;371;2,75
Çorum - Ordu;1020;714;318;3,21
Dalaman - Ordu;2420;1694;1241;1,95
Diyarbakır - Ordu;2035;1424,5;647;3,15
Dörtyol - Ordu;2035;1424,5;733;2,78
Eskişehir - Ordu;1865;1305,5;804;2,32
Eynesil - Ordu;385;269,5;118;3,26
Fethiye - Ordu;2420;1694;1195;2,03
Gaziantep - Ordu;1920;1344;663;2,9
Bulancak - Ordu;385;269,5;30;12,83
Giresun - Ordu;385;269,5;45;8,56
Ordu - Tirebolu;610;427;88;6,93
Görele - Ordu;610;427;105;5,81
Kırıkhan - Ordu;2035;1424,5;722;2,82
Havza - Ordu;645;451,5;231;2,79
İskenderun - Ordu;2035;1424,5;761;2,67
Kahramanmaraş - Ordu;2090;1463;586;3,57
Karacabey - Ordu;2200;1540;963;2,28
Keçiborlu - Ordu;2035;1424,5;951;2,14
Keşap - Ordu;385;269,5;59;6,53
Kırşehir - Ordu;1850;1295;540;3,43
Ordu - Seydişehir;1980;1386;840;2,36
Kütahya - Ordu;1980;1386;880;2,25
Merzifon - Ordu;735;514,5;257;2,86
Ordu - Ortaca;2420;1694;1240;1,95
Ordu - Yatağan;2320;1624;1215;1,91
Göreme - Ordu;1920;1344;532;3,61
Düziçi - Ordu;2050;1435;682;3,01
Ordu - Osmaniye;2290;1603;691;3,31
Ordu - Payas;2035;1424,5;741;2,75
Ordu - Piraziz;385;269,5;22;17,5
Ordu - Polatlı;1470;1029;646;2,28
Ordu - Rize;645;451,5;254;2,54
Ordu - Pazar;645;451,5;291;2,22
Ordu - Sakarya;1920;1344;738;2,6
Ordu - Samsun;510;357;158;3,23
Kavak - Ordu;645;451,5;198;3,26
Ordu - Sarayköy;2035;1424,5;1060;1,92
Ordu - Sarıkaya;1640;1148;482;3,4
Ordu - Şarkışla;1440;1008;341;4,22
Ordu - Sürmene;530;371;214;2,48
Ordu - Şanlıurfa;2035;1424,5;698;2,92
Ordu - Siverek;1865;1305,5;682;2,73
Ordu - Tefenni;2420;1694;1058;2,29
Ordu - Tekkeköy;450;315;136;3,31
Ordu - Tokat;1360;952;193;7,05
Ordu - Trabzon;530;371;178;2,98
Ordu - Vakfıkebir;530;371;132;4,02
Ordu - Van;2090;1463;780;2,68
Ordu - Yerköy;1300;910;468;2,78
Ordu - Yıldızeli;1410;987;254;5,55
Boğazlıyan - Ordu;1640;1148;519;3,16
Ordu - Yozgat;1410;987;427;3,3
Ordu - Sorgun;1530;1071;438;3,49
Ereğli_Kdz - Ordu;2035;1424,5;725;2,81
Ereğli_Kdz - Ordu;2035;1424,5;725;2,81
Acıgöl - Fatsa;1810;1267;517;3,5
Fatsa - Patnos;1980;1386;671;2,95
Ağrı - Fatsa;1980;1386;625;3,17
Akçaabat - Fatsa;510;357;203;2,51
Akçay_Balıkesir - Fatsa;2490;1743;1095;2,27
Aksaray - Fatsa;1865;1305,5;609;3,06
Fatsa - Hatay;2010;1407;724;2,78
Fatsa - Manavgat;2150;1505;933;2,3
Borçka - Fatsa;960;672;410;2,34
Fatsa - Hopa;1130;791;385;2,94
Artvin - Fatsa;960;672;442;2,17
Aşkale - Fatsa;1410;987;392;3,6
Çine - Fatsa;2200;1540;1161;1,89
Aydın - Fatsa;2090;1463;1125;1,86
Bandırma - Fatsa;2200;1540;964;2,28
Fatsa - Gönen;2340;1638;1005;2,33
Balıkesir - Fatsa;2320;1624;1009;2,3
Banaz - Fatsa;1750;1225;863;2,03
Bayburt - Fatsa;905;633,5;320;2,83
Çavdır - Fatsa;2320;1624;1042;2,23
Burdur - Fatsa;2035;1424,5;949;2,14
Fatsa - Orhangazi;2035;1424,5;818;2,49
Çanakkale - Fatsa;2490;1743;1126;2,21
Fatsa - Lapseki;2420;1694;1093;2,21
Alaca - Fatsa;960;672;331;2,9
Çorum - Fatsa;960;672;279;3,44
Dalaman - Fatsa;2320;1624;1201;1,93
Dörtyol - Fatsa;2010;1407;693;2,9
Erzurum - Fatsa;1410;987;451;3,13
Eskişehir - Fatsa;1865;1305,5;764;2,44
Eynesil - Fatsa;440;308;158;2,78
Fatsa - Fethiye;2320;1624;1155;2,01
Fatsa - Gaziantep;1810;1267;623;2,91
Bulancak - Fatsa;440;308;70;6,29
Fatsa - Giresun;440;308;85;5,18
Fatsa - Tirebolu;450;315;128;3,52
Fatsa - Gölbaşı (Adıyaman);1860;1302;576;3,23
Fatsa - Görele;450;315;145;3,1
Fatsa - Kırıkhan;2010;1407;683;2,94
Fatsa - Havza;635;444,5;192;3,31
Fatsa - Iğdır;1530;1071;734;2,08
Fatsa - Tuzluca;1530;1071;695;2,2
Fatsa - Isparta;1980;1386;951;2,08
Fatsa - İskenderun;2010;1407;721;2,79
Fatsa - Kahramanmaraş;2090;1463;546;3,83
Fatsa - Kağızman;1530;1071;638;2,4
Fatsa - Selim (Kars);1530;1071;615;2,49
Fatsa - Kars;1530;1071;647;2,36
Araç - Fatsa;1920;1344;451;4,26
Fatsa - Kastamonu;1360;952;405;3,36
Fatsa - Kayseri;1865;1305,5;418;4,46
Fatsa - Keçiborlu;1980;1386;911;2,17
Fatsa - Keşap;440;308;99;4,44
Fatsa - Kırşehir;1695;1186,5;500;3,39
Fatsa - Seydişehir;1865;1305,5;801;2,33
Fatsa - Kütahya;1920;1344;840;2,29
Fatsa - Merzifon;620;434;217;2,86
Fatsa - Ortaca;2320;1624;1201;1,93
Fatsa - Yatağan;2200;1540;1175;1,87
Fatsa - M.Kemal Paşa;2200;1540;940;2,34
Fatsa - Göreme;1810;1267;492;3,68
Avanos - Fatsa;1810;1267;554;3,27
Fatsa - Nevşehir;1810;1267;492;3,68
Düziçi - Fatsa;2050;1435;643;3,19
Fatsa - Osmaniye;2035;1424,5;652;3,12
Fatsa - Payas;2010;1407;702;2,86
Fatsa - Piraziz;440;308;62;7,1
Fatsa - Polatlı;1410;987;606;2,33
Ardeşen - Fatsa;1130;791;340;3,32
Çayeli - Fatsa;645;451,5;314;2,05
Fatsa - Rize;645;451,5;294;2,19
Fatsa - Pazar;645;451,5;331;1,95
Fatsa - Sakarya;1865;1305,5;698;2,67
Fatsa - Samsun;440;308;118;3,73
Fatsa - Kavak;635;444,5;158;4,02
Fatsa - Sarayköy;1980;1386;1020;1,94
Fatsa - Sarıkamış;1530;1071;599;2,55
Fatsa - Sarıkaya;1580;1106;442;3,57
Fatsa - Gerze;985;689,5;236;4,17
Fatsa - Şarkışla;1245;871,5;302;4,12
Fatsa - Susurluk;1920;1344;964;1,99
Fatsa - Sürmene;510;357;254;2,01
Fatsa - Şanlıurfa;1920;1344;700;2,74
Fatsa - Tefenni;2320;1624;1019;2,28
Çorlu - Fatsa;1980;1386;948;2,09
Fatsa - Tekirdağ;2150;1505;973;2,21
Fatsa - Tekkeköy;385;269,5;96;4,01
Fatsa - Tokat;1245;871,5;153;8,14
Fatsa - Torul;1075;752,5;223;4,82
Fatsa - Trabzon;510;357;218;2,34
Fatsa - Vakfıkebir;510;357;172;2,97
Fatsa - Uşak;1920;1344;895;2,15
Erciş - Fatsa;2090;1463;720;2,9
Fatsa - Van;2090;1463;820;2,55
Fatsa - Yerköy;1530;1071;428;3,57
Fatsa - Yıldızeli;1360;952;214;6,36
Boğazlıyan - Fatsa;1580;1106;480;3,29
Fatsa - Yozgat;1360;952;387;3,51
Fatsa - Sorgun;1410;987;398;3,54
Ereğli_Kdz - Fatsa;1980;1386;685;2,89
Ereğli_Kdz - Fatsa;1980;1386;685;2,89
Acıgöl - Ünye;1810;1267;569;3,18
Patnos - Ünye;1980;1386;694;2,85
Akçaabat - Ünye;510;357;225;2,27
Akçay_Balıkesir - Ünye;2490;1743;1074;2,32
Aksaray - Ünye;1865;1305,5;588;3,17
Hatay - Ünye;2010;1407;725;2,77
Manavgat - Ünye;2150;1505;912;2,36
Artvin - Ünye;960;672;464;2,07
Aşkale - Ünye;1410;987;414;3,41
Çine - Ünye;2200;1540;1140;1,93
Aydın - Ünye;2090;1463;1104;1,89
Bandırma - Ünye;2200;1540;943;2,33
Edremit - Ünye;2490;1743;1074;2,32
Gönen - Ünye;2340;1638;984;2,38
Balıkesir - Ünye;2320;1624;988;2,35
Bayburt - Ünye;905;633,5;343;2,64
Bozüyük - Ünye;1920;1344;787;2,44
Gemlik - Ünye;2035;1424,5;808;2,52
İnegöl - Ünye;1980;1386;846;2,34
Orhangazi - Ünye;2035;1424,5;797;2,55
Çanakkale - Ünye;2490;1743;1105;2,25
Alaca - Ünye;960;672;310;3,1
Çorum - Ünye;960;672;258;3,72
Dörtyol - Ünye;2010;1407;695;2,89
Eskişehir - Ünye;1865;1305,5;743;2,51
Eynesil - Ünye;440;308;181;2,43
Gaziantep - Ünye;1810;1267;625;2,9
Bulancak - Ünye;440;308;93;4,73
Giresun - Ünye;440;308;108;4,07
Tirebolu - Ünye;450;315;151;2,98
Gölbaşı (Adıyaman) - Ünye;1860;1302;577;3,22
Görele - Ünye;450;315;168;2,68
Kırıkhan - Ünye;2010;1407;684;2,94
Havza - Ünye;635;444,5;171;3,71
Iğdır - Ünye;1530;1071;756;2,02
Tuzluca - Ünye;1530;1071;717;2,13
İskenderun - Ünye;2010;1407;723;2,78
Kahramanmaraş - Ünye;2090;1463;548;3,81
Kağızman - Ünye;1530;1071;661;2,31
Selim (Kars) - Ünye;1530;1071;638;2,4
Kars - Ünye;1530;1071;670;2,28
Araç - Ünye;1920;1344;430;4,47
Kastamonu - Ünye;1360;952;384;3,54
Keçiborlu - Ünye;1980;1386;890;2,22
Keşap - Ünye;440;308;121;3,64
Kırşehir - Ünye;1695;1186,5;479;3,54
Seydişehir - Ünye;1865;1305,5;780;2,39
Kütahya - Ünye;1920;1344;819;2,34
Merzifon - Ünye;620;434;196;3,16
Ortaca - Ünye;2320;1624;1180;1,97
Ünye - Yatağan;2200;1540;1154;1,91
M.Kemal Paşa - Ünye;2200;1540;919;2,39
Göreme - Ünye;1810;1267;551;3,28
Düziçi - Ünye;2050;1435;644;3,18
Osmaniye - Ünye;2035;1424,5;653;3,12
Payas - Ünye;2010;1407;703;2,86
Piraziz - Ünye;440;308;85;5,18
Polatlı - Ünye;1410;987;585;2,41
Rize - Ünye;645;451,5;316;2,04
Pazar - Ünye;645;451,5;354;1,82
Sakarya - Ünye;1865;1305,5;678;2,75
Samsun - Ünye;440;308;98;4,49
Kavak - Ünye;635;444,5;137;4,64
Sarayköy - Ünye;1980;1386;999;1,98
Sarıkamış - Ünye;1530;1071;622;2,46
Sarıkaya - Ünye;1580;1106;421;3,75
Gerze - Ünye;985;689,5;215;4,58
Susurluk - Ünye;1920;1344;943;2,04
Sürmene - Ünye;510;357;277;1,84
Şanlıurfa - Ünye;1920;1344;702;2,74
Tefenni - Ünye;2320;1624;998;2,32
Tekirdağ - Ünye;2150;1505;952;2,26
Tekkeköy - Ünye;385;269,5;75;5,13
Tokat - Ünye;1245;871,5;155;8,03
Trabzon - Ünye;510;357;241;2,12
Ünye - Vakfıkebir;510;357;194;2,63
Erciş - Ünye;2090;1463;743;2,81
Ünye - Van;2090;1463;843;2,48
Ünye - Yalova;1750;1225;776;2,26
Ünye - Yerköy;1530;1071;407;3,76
Ünye - Yıldızeli;1360;952;215;6,33
Boğazlıyan - Ünye;1580;1106;459;3,44
Ünye - Yozgat;1360;952;366;3,72
Sorgun - Ünye;1410;987;377;3,74
Ereğli_Kdz - Ünye;1980;1386;664;2,98
Ereğli_Kdz - Ünye;1980;1386;664;2,98
Akçaabat - Osmancık;1190;833;482;2,47
Akçay_Balıkesir - Osmancık;2150;1505;815;2,64
Borçka - Osmancık;1470;1029;689;2,13
Hopa - Osmancık;1530;1071;664;2,3
Artvin - Osmancık;1470;1029;721;2,04
Aşkale - Osmancık;1865;1305,5;613;3,04
Edremit - Osmancık;2150;1505;815;2,64
Balıkesir - Osmancık;1980;1386;729;2,72
Bolu - Osmancık;1410;987;300;4,7
Gemlik - Osmancık;1440;1008;550;2,62
Orhangazi - Osmancık;1550;1085;538;2,88
Bursa - Osmancık;1530;1071;573;2,67
Çarşamba - Osmancık;850;595;208;4,09
Doğubeyazıt - Osmancık;2150;1505;940;2,29
Erzurum - Osmancık;1865;1305,5;672;2,78
Eynesil - Osmancık;1030;721;438;2,35
Giresun - Osmancık;1030;721;364;2,83
Osmancık - Tirebolu;1155;808,5;408;2,83
Gölcük - Osmancık;1410;987;468;3,01
Görele - Osmancık;1155;808,5;424;2,72
Havza - Osmancık;665;465,5;88;7,56
Osmancık - Tuzluca;2260;1582;916;2,47
İstanbul Avrupa - Osmancık;1470;1029;563;2,61
İstanbul Anadolu - Osmancık;1470;1029;565;2,6
Karamürsel - Osmancık;1410;987;486;2,9
Kars - Osmancık;1750;1225;868;2,02
Keşap - Osmancık;1030;721;378;2,72
Kocaeli - Osmancık;1410;987;453;3,11
Mercan - Osmancık;1890;1323;576;3,28
Merzifon - Osmancık;610;427;62;9,84
M.Kemal Paşa - Osmancık;2060;1442;660;3,12
Of - Osmancık;1300;910;548;2,37
Ordu - Osmancık;1020;714;319;3,2
Fatsa - Osmancık;905;633,5;279;3,24
Osmancık - Ünye;905;633,5;258;3,51
Osmancık - Pasinler;1865;1305,5;703;2,65
Osmancık - Perşembe;1020;714;322;3,17
Ardeşen - Osmancık;1530;1071;620;2,47
Çayeli - Osmancık;1300;910;594;2,19
Osmancık - Pazar;1300;910;610;2,13
Osmancık - Sakarya;1470;1029;419;3,51
Osmancık - Samsun;620;434;164;3,78
Kavak - Osmancık;665;465,5;124;5,36
Osmancık - Susurluk;1980;1386;684;2,89
Osmancık - Sürmene;1190;833;534;2,23
Osmancık - Tekirdağ;1750;1225;694;2,52
Osmancık - Tekkeköy;850;595;183;4,64
Osmancık - Tercan;1890;1323;576;3,28
Osmancık - Terme;850;595;228;3,73
Osmancık - Tosya;725;507,5;75;9,67
Beşikdüzü - Osmancık;1190;833;448;2,66
Osmancık - Trabzon;1190;833;498;2,39
Osmancık - Vakfıkebir;1190;833;451;2,64
Osmancık - Yalova;1440;1008;518;2,78
Ereğli_Kdz - Osmancık;1550;1085;406;3,82
Ereğli_Kdz - Osmancık;1550;1085;406;3,82
Düziçi - Sultandağı;1530;1071;625;2,45
Düziçi - Hatay;520;364;160;3,25
Antalya - Düziçi;1530;1071;662;2,31
Düziçi - Erdek;2090;1463;1114;1,88
Beşiri - Düziçi;1245;871,5;543;2,29
Düziçi - Tatvan;1865;1305,5;662;2,82
Ceyhan - Düziçi;395;276,5;74;5,34
Dörtyol - Düziçi;520;364;69;7,54
Düziçi - Erdemli;735;514,5;234;3,14
Düziçi - Gevaş;2320;1624;762;3,04
Düziçi - Kırıkhan;520;364;118;4,41
Düziçi - İskenderun;520;364;97;5,36
Düziçi - İstanbul Avrupa;1865;1305,5;1067;1,75
Düziçi - İzmir;1810;1267;1016;1,78
Düziçi - Ilgın;1360;952;555;2,45
Düziçi - Kızıltepe;1300;910;418;3,11
Düziçi - Marmaris;2090;1463;981;2,13
Düziçi - Payas;520;364;77;6,75
Düziçi - Polatlı;1470;1029;671;2,19
Düziçi - Siirt;1190;833;613;1,94
Düziçi - Van;2320;1624;796;2,91
Çay - Osmaniye;1530;1071;614;2,49
Dinar - Osmaniye;1750;1225;720;2,43
Afyon - Osmaniye;1580;1106;665;2,38
Osmaniye - Sultandağı;1530;1071;594;2,58
Ağrı - Osmaniye;2090;1463;899;2,32
Ahlat - Osmaniye;1530;1071;708;2,16
Aksaray - Osmaniye;960;672;354;2,71
Ankara - Osmaniye;1245;871,5;581;2,14
Hatay - Osmaniye;520;364;129;4,03
Antalya - Osmaniye;1530;1071;631;2,42
Didim - Osmaniye;2090;1463;1046;2
Osmaniye - Söke;2090;1463;996;2,1
Bandırma - Osmaniye;2090;1463;1062;1,97
Erdek - Osmaniye;2090;1463;1083;1,93
Banaz - Osmaniye;1750;1225;745;2,35
Beşiri - Osmaniye;1245;871,5;552;2,26
Beyşehir - Osmaniye;1470;1029;529;2,78
Bismil - Osmaniye;1245;871,5;489;2,55
Bursa - Osmaniye;1865;1305,5;944;1,98
Ceyhan - Osmaniye;385;269,5;43;8,95
Diyarbakır - Osmaniye;1190;833;436;2,73
Dörtyol - Osmaniye;520;364;38;13,68
Düzce - Osmaniye;1865;1305,5;821;2,27
Eğirdir - Osmaniye;1695;1186,5;649;2,61
Elazığ - Osmaniye;1530;1071;403;3,8
Erdemli - Osmaniye;665;465,5;204;3,26
Ereğli_Konya - Osmaniye;1075;752,5;293;3,67
Ereğli_Konya - Osmaniye;1075;752,5;293;3,67
Eskişehir - Osmaniye;1750;1225;779;2,25
İslahiye - Osmaniye;360;252;61;5,9
Gaziantep - Osmaniye;395;276,5;121;3,26
Gazipaşa - Osmaniye;1470;1029;454;3,24
Gevaş - Osmaniye;2090;1463;771;2,71
Kırıkhan - Osmaniye;520;364;110;4,73
Iğdır - Osmaniye;1980;1386;982;2,02
Isparta - Osmaniye;1695;1186,5;684;2,48
İskenderun - Osmaniye;520;364;66;7,88
İstanbul Avrupa - Osmaniye;1865;1305,5;1036;1,8
İstanbul Anadolu - Osmaniye;1865;1305,5;1038;1,8
İzmir - Osmaniye;1810;1267;985;1,84
Karacabey - Osmaniye;2090;1463;1022;2,05
Karapınar - Osmaniye;1190;833;343;3,47
Gebze - Osmaniye;1865;1305,5;976;1,91
Kocaeli - Osmaniye;1865;1305,5;926;2,01
Akşehir - Osmaniye;1360;952;570;2,39
Ilgın - Osmaniye;1360;952;524;2,6
Konya - Osmaniye;1245;871,5;447;2,79
Kurtalan - Osmaniye;1190;833;592;2,01
Malatya - Osmaniye;1130;791;301;3,75
Kula (TR) - Osmaniye;1810;1267;853;2,12
Osmaniye - Salihli;1810;1267;899;2,01
Kızıltepe - Osmaniye;1300;910;427;3,04
Iğdır Melekli - Osmaniye;1980;1386;982;2,02
Anamur - Osmaniye;1300;910;377;3,45
Osmaniye - Silifke;960;672;252;3,81
Marmaris - Osmaniye;2090;1463;951;2,2
Osmaniye - Yatağan;2035;1424,5;974;2,09
Osmaniye - Payas;520;364;46;11,3
Osmaniye - Polatlı;1470;1029;641;2,29
Osmaniye - Sakarya;1865;1305,5;893;2,09
Osmaniye - Sarayköy;1865;1305,5;846;2,2
Osmaniye - Siirt;1190;833;622;1,91
Osmaniye - Şanlıurfa;850;595;266;3,2
Osmaniye - Siverek;1020;714;355;2,87
Osmaniye - Viranşehir;1410;987;353;3,99
Osmaniye - Şarkikaraağaç;1640;1148;568;2,89
Osmaniye - Uşak;1750;1225;777;2,25
Çay - Pasinler;2320;1624;1140;2,04
Dinar - Pasinler;2320;1624;1245;1,86
Afyon - Pasinler;2200;1540;1178;1,87
Pasinler - Sultandağı;2320;1624;1120;2,07
Pasinler - Patnos;1060;742;189;5,61
Eleşkirt - Pasinler;790;553;108;7,31
Ağrı - Pasinler;790;553;142;5,56
Akçaabat - Pasinler;960;672;353;2,72
Aksaray - Pasinler;1865;1305,5;822;2,27
Ankara - Pasinler;1750;1225;916;1,91
Antalya - Pasinler;2420;1694;1279;1,89
Manavgat - Pasinler;2540;1778;1205;2,11
Pasinler - Serik;2540;1778;1241;2,05
Çine - Pasinler;2880;2016;1513;1,9
Aydın - Pasinler;2540;1778;1477;1,72
Bandırma - Pasinler;2880;2016;1425;2,02
Banaz - Pasinler;2320;1624;1257;1,85
Bayburt - Pasinler;495;346,5;162;3,06
Beyşehir - Pasinler;1980;1386;1060;1,87
Bozüyük - Pasinler;2260;1582;1203;1,88
İnegöl - Pasinler;2320;1624;1261;1,84
Bursa - Pasinler;2260;1582;1308;1,73
Biga - Pasinler;3050;2135;1496;2,04
Çanakkale - Pasinler;3050;2135;1587;1,92
Lapseki - Pasinler;3050;2135;1554;1,96
Çarşamba - Pasinler;1580;1106;555;2,85
Denizli - Pasinler;2430;1701;1356;1,79
Erzincan - Pasinler;610;427;228;2,68
Eskişehir - Pasinler;2090;1463;1159;1,8
Eynesil - Pasinler;1300;910;376;3,46
Fethiye - Pasinler;2820;1974;1474;1,91
Bulancak - Pasinler;1300;910;412;3,16
Giresun - Pasinler;1300;910;397;3,27
Pasinler - Tirebolu;1190;833;354;3,36
Görele - Pasinler;1190;833;363;3,28
Gümüşhane - Pasinler;790;553;238;3,32
İmranlı - Pasinler;1190;833;369;3,22
İstanbul Avrupa - Pasinler;2200;1540;1265;1,74
İstanbul Avrupa - Pasinler;2200;1540;1266;1,74
İstanbul Anadolu - Pasinler;2200;1540;1268;1,74
İzmir - Pasinler;2540;1778;1498;1,7
Karabük - Pasinler;2260;1582;963;2,35
Pasinler - Safranbolu;2260;1582;975;2,32
Karacabey - Pasinler;2820;1974;1385;2,04
Araç - Pasinler;2370;1659;895;2,65
Kastamonu - Pasinler;2260;1582;848;2,67
Kayseri - Pasinler;1810;1267;672;2,69
Kırıkkale - Pasinler;1865;1305,5;842;2,21
Gebze - Pasinler;2200;1540;1205;1,83
Kocaeli - Pasinler;2200;1540;1156;1,9
Akşehir - Pasinler;2090;1463;1096;1,91
Ilgın - Pasinler;1920;1344;1050;1,83
Konya - Pasinler;1865;1305,5;973;1,92
Pasinler - Seydişehir;2200;1540;1073;2,05
Kula (TR) - Pasinler;2320;1624;1366;1,7
Pasinler - Salihli;2490;1743;1412;1,76
Manisa - Pasinler;2430;1701;1485;1,64
Pasinler - Turgutlu;2490;1743;1452;1,71
Mercan - Pasinler;610;427;127;4,8
Merzifon - Pasinler;1810;1267;641;2,82
Marmaris - Pasinler;3050;2135;1546;1,97
Muğla - Pasinler;2880;2016;1498;1,92
Pasinler - Yatağan;2990;2093;1526;1,96
Nazilli - Pasinler;2540;1778;1430;1,78
Göreme - Pasinler;1920;1344;746;2,57
Avanos - Pasinler;1920;1344;731;2,63
Nevşehir - Pasinler;1920;1344;746;2,57
Ordu - Pasinler;1360;952;442;3,08
Fatsa - Pasinler;1410;987;482;2,93
Pasinler - Ünye;1410;987;505;2,79
Pasinler - Perşembe;1360;952;457;2,98
Pasinler - Piraziz;1300;910;422;3,08
Pasinler - Polatlı;1920;1344;1000;1,92
Pasinler - Sakarya;2200;1540;1122;1,96
Pasinler - Samsun;1695;1186,5;601;2,82
Pasinler - Sarayköy;2430;1701;1372;1,77
Gerze - Pasinler;1920;1344;718;2,67
Pasinler - Sivas;1190;833;475;2,51
Pasinler - Şarkışla;1640;1148;555;2,95
Pasinler - Tekkeköy;1580;1106;578;2,73
Pasinler - Tercan;610;427;127;4,8
Pasinler - Terme;1580;1106;534;2,96
Pasinler - Torul;790;553;260;3,04
Pasinler - Tosya;2150;1505;778;2,76
Beşikdüzü - Pasinler;960;672;388;2,47
Pasinler - Trabzon;960;672;351;2,74
Pasinler - Vakfıkebir;960;672;385;2,49
Pasinler - Uşak;2260;1582;1290;1,75
Erciş - Pasinler;1300;910;238;5,46
Pasinler - Yerköy;1530;1071;740;2,07
Pasinler - Yıldızeli;1190;833;521;2,28
Akdağmadeni - Pasinler;1410;987;599;2,35
Pasinler - Yozgat;1530;1071;699;2,19
Pasinler - Sorgun;1470;1029;664;2,21
Pasinler - Zara;1190;833;409;2,91
Dinar - Payas;1980;1386;746;2,65
Payas - Sultandağı;1750;1225;620;2,82
Aydın - Payas;2200;1540;977;2,25
Payas - Söke;2200;1540;1022;2,15
Bandırma - Payas;2370;1659;1088;2,18
Balıkesir - Payas;2540;1778;1015;2,5
Beyşehir - Payas;1640;1148;555;2,95
Burdur - Payas;1865;1305,5;740;2,52
Gemlik - Payas;2370;1659;998;2,37
Biga - Payas;2540;1778;1158;2,19
Çanakkale - Payas;2540;1778;1250;2,03
Lapseki - Payas;2540;1778;1216;2,09
Denizli - Payas;2090;1463;856;2,44
Payas - Tavas;2090;1463;872;2,4
Eğirdir - Payas;1750;1225;675;2,59
Erdemli - Payas;850;595;229;3,71
Fethiye - Payas;2090;1463;853;2,45
Finike - Payas;1980;1386;773;2,56
Gazipaşa - Payas;1640;1148;480;3,42
Isparta - Payas;1750;1225;710;2,46
İstanbul Avrupa - Payas;2260;1582;1062;2,13
Kastamonu - Payas;2320;1624;808;2,87
Kütahya - Payas;2090;1463;787;2,66
Anamur - Payas;1190;833;403;2,95
Payas - Silifke;1075;752,5;278;3,87
Payas - Tarsus;850;595;154;5,52
Mersin - Payas;850;595;181;4,7
Bodrum - Payas;2540;1778;1081;2,35
Marmaris - Payas;2540;1778;976;2,6
Muğla - Payas;2540;1778;971;2,62
Milas - Payas;2540;1778;1038;2,45
Nazilli - Payas;2200;1540;930;2,37
Payas - Polatlı;1865;1305,5;666;2,8
Payas - Şarkikaraağaç;1750;1225;594;2,95
Payas - Yalova;2370;1659;1037;2,29
Payas - Zonguldak;2430;1701;876;2,77
Acıgöl - Perşembe;1920;1344;559;3,43
Adıyaman - Perşembe;1860;1302;606;3,07
Afyon - Perşembe;1920;1344;826;2,32
Perşembe - Sandıklı;1695;1186,5;891;1,9
Akçaabat - Perşembe;530;371;178;2,98
Akçay_Balıkesir - Perşembe;2490;1743;1138;2,19
Amasya - Perşembe;1020;714;281;3,63
Ankara - Perşembe;1190;833;565;2,11
Araklı - Perşembe;530;371;224;2,37
