Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Aksaray - Boğazlıyan;1130;791;172;6,57
Aksaray - Yozgat;905;633,5;222;4,08
Aksaray - Sorgun;905;633,5;252;3,59
Aksaray - Zara;1360;952;419;3,25
Aksaray - Zonguldak;1810;1267;496;3,65
Akyazı - Balıkesir;1420;994;343;4,14
Akyazı - Gemlik;830;581;163;5,09
Akyazı - Orhangazi;775;542,5;152;5,1
Akyazı - Bursa;910;637;186;4,89
Akyazı - Gölcük;405;283,5;81;5
Akyazı - İzmir;1660;1162;507;3,27
Akyazı - Karamürsel;405;283,5;100;4,05
Akyazı - Kocaeli;405;283,5;66;6,14
Akhisar - Akyazı;1605;1123,5;428;3,75
Akyazı - Manisa;1660;1162;479;3,47
Akyazı - M.Kemal Paşa;1310;917;274;4,78
Akyazı - Susurluk;1420;994;298;4,77
Akyazı - Yalova;640;448;131;4,89
Adana - Alaplı;1810;1267;787;2,3
Afyon - Alaplı;1770;1239;426;4,15
Alaplı - Sandıklı;1695;1186,5;469;3,61
Aksaray - Alaplı;1810;1267;520;3,48
Alaplı - Ankara;790;553;287;2,75
Alaplı - Antalya;1865;1305,5;696;2,68
Alaplı - Manavgat;2035;1424,5;744;2,74
Alaplı - Serik;1980;1386;708;2,8
Alaplı - Çine;2910;2037;721;4,04
Alaplı - Amasra;925;647,5;164;5,64
Alaplı - Bartın;899;629,3;147;6,12
Alaplı - Bolu;600;420;100;6
Alaplı - Bucak;1810;1267;615;2,94
Alaplı - Dalaman;3410;2387;822;4,15
Alaplı - Dörtyol;2430;1701;891;2,73
Alaplı - Erzin;2430;1701;904;2,69
Alaplı - Gölcük;880;616;175;5,03
Alaplı - Isparta;1970;1379;571;3,45
Alaplı - İskenderun;2430;1701;919;2,64
Alaplı - İstanbul Avrupa;1020;714;270;3,78
Alaplı - İstanbul Anadolu;1020;714;272;3,75
Alaplı - Lüleburgaz;1410;987;420;3,36
Alaplı - Kırklareli;1525;1067,5;479;3,18
Alaplı - Kırşehir;1580;1106;471;3,35
Alaplı - Gebze;1010;707;210;4,81
Alaplı - Köyceğiz;3410;2387;754;4,52
Alaplı - Muğla;2910;2037;734;3,96
Alaplı - Ortaca;3410;2387;772;4,42
Alaplı - Yatağan;2910;2037;726;4,01
Alaplı - Niğde;1750;1225;636;2,75
Alaplı - Payas;2430;1701;900;2,7
Alaplı - Polatlı;960;672;345;2,78
Aliağa - Dinar;1515;1060,5;371;4,08
Aliağa - Altınoluk;655;458,5;137;4,78
Aliağa - Antalya;1410;987;491;2,87
Aliağa - Aydın;690;483;182;3,79
Aliağa - Kuşadası;830;581;152;5,46
Aliağa - Söke;810;567;173;4,68
Aliağa - Burdur;1180;826;428;2,76
Aliağa - Fethiye;1640;1148;404;4,06
Aliağa - Isparta;1670;1169;429;3,89
Aliağa - Küçükkuyu;670;469;198;3,38
Aliağa - Bodrum;1370;959;305;4,49
Aliağa - Milas;1240;868;254;4,88
Aliağa - Sarayköy;1180;826;244;4,84
Aliağa - Tekirdağ;1350;945;440;3,07
Acıgöl - Altınoluk;2035;1424,5;830;2,45
Altınoluk - Çay;1640;1148;461;3,56
Altınoluk - Dinar;1800;1260;473;3,81
Afyon - Altınoluk;1865;1305,5;410;4,55
Altınoluk - Sultandağı;1640;1148;481;3,41
Altınoluk - Antalya;2040;1428;594;3,43
Altınoluk - Çine;1515;1060,5;356;4,26
Altınoluk - Aydın;1360;952;319;4,26
Altınoluk - Kuşadası;1315;920,5;289;4,55
Altınoluk - Söke;1385;969,5;310;4,47
Altınoluk - Bingöl;2990;2093;1510;1,98
Altınoluk - Tatvan;3110;2177;1701;1,83
Altınoluk - Güroymak;3110;2177;1670;1,86
Altınoluk - Bitlis;3110;2177;1701;1,83
Altınoluk - Burdur;1740;1218;530;3,28
Altınoluk - Gemlik;1100;770;266;4,14
Altınoluk - Orhangazi;1125;787,5;282;3,99
Altınoluk - Dalaman;1980;1386;505;3,92
Altınoluk - Kovancılar;2880;2016;1435;2,01
Altınoluk - Elazığ;2880;2016;1372;2,1
Altınoluk - Ereğli_Konya;1720;1204;785;2,19
Altınoluk - Ereğli_Konya;1720;1204;785;2,19
